Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,8.013540,8.013540,7.710830,7.757960,7.094460,10802840
2016-06-02,7.775180,7.855840,7.755240,7.808710,7.140871,6765124
2016-06-03,7.884840,8.053410,7.841340,7.872150,7.198884,11278697
2016-06-06,7.884840,8.082420,7.876680,8.046160,7.358012,10292446
2016-06-07,8.111420,8.228330,8.082420,8.211110,7.508855,12602020
2016-06-08,8.205670,8.575440,8.205670,8.501130,7.774071,23225033
2016-06-09,8.047980,8.132260,7.833180,7.891190,7.667251,19952086
2016-06-10,7.839530,7.845870,7.637420,7.652830,7.435655,12729193
2016-06-13,7.538630,7.642860,7.504190,7.541350,7.327339,10842437
2016-06-14,7.477000,7.520510,7.370970,7.378220,7.168838,11224978
2016-06-15,7.424440,7.646480,7.407220,7.570350,7.355516,10106804
2016-06-16,7.440750,7.533200,7.357370,7.482440,7.270101,10152010
2016-06-17,7.535910,7.746180,7.513260,7.698140,7.479680,15960338
2016-06-20,7.903870,8.075170,7.856750,8.050690,7.822224,11712601
2016-06-21,8.057040,8.236490,7.988160,8.189360,7.956959,12985751
2016-06-22,8.235580,8.331650,8.134070,8.247360,8.013313,10082807
2016-06-23,8.337990,8.599010,8.324400,8.434970,8.195600,15399886
2016-06-24,7.452530,7.822310,7.351030,7.681830,7.463832,36489079
2016-06-27,7.672770,7.688170,7.426250,7.460690,7.248968,21590426
2016-06-28,7.585760,7.812340,7.559480,7.580320,7.365203,13838963
2016-06-29,7.690890,7.955530,7.686360,7.955530,7.729765,11863061
2016-06-30,7.919280,8.217450,7.856750,8.180300,7.948156,13399565
2016-07-01,8.220170,8.301740,7.999940,8.287240,8.052062,12321842
2016-07-04,8.278180,8.554600,8.275460,8.459440,8.219375,12310229
2016-07-05,8.374250,8.428620,8.120480,8.247360,8.013313,11211899
2016-07-06,8.156730,8.347060,7.949190,7.993600,7.766755,12458432
2016-07-07,8.062480,8.355210,8.054320,8.211110,7.978092,9139254
2016-07-08,8.202950,8.375150,8.177580,8.324400,8.088167,7649764
